@relation cal_housing-weka.filters.unsupervised.attribute.Center-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute longitude numeric
@attribute latitude numeric
@attribute housingMedianAge numeric
@attribute totalRooms numeric
@attribute totalBedrooms numeric
@attribute population numeric
@attribute households numeric
@attribute medianIncome numeric
@attribute medianHouseValue numeric

@data
0.211155,0.567481,0.784314,0.022331,0.019863,0.008941,0.020556,0.539668,452600
0.212151,0.565356,0.392157,0.180503,0.171477,0.06721,0.186976,0.538027,358500
0.210159,0.564293,1,0.03726,0.02933,0.013818,0.028943,0.466028,352100
0.209163,0.564293,1,0.032352,0.036313,0.015555,0.035849,0.354699,341300
0.209163,0.564293,1,0.04133,0.043296,0.015752,0.042427,0.230776,342200
0.209163,0.564293,1,0.023323,0.032899,0.011491,0.031574,0.243921,269700
0.209163,0.563231,1,0.064423,0.075729,0.030578,0.084361,0.217873,299200
0.209163,0.563231,1,0.078895,0.106456,0.032344,0.106233,0.180694,241400
0.208167,0.563231,0.803922,0.064932,0.103042,0.033717,0.097681,0.108998,226700
0.209163,0.563231,1,0.090213,0.109559,0.043387,0.11725,0.220087,261100
0.208167,0.564293,1,0.055954,0.067194,0.025421,0.065943,0.186425,281500
0.208167,0.564293,1,0.089043,0.116543,0.04207,0.120539,0.191073,241800
0.208167,0.564293,1,0.063304,0.073402,0.03069,0.076797,0.177591,213500
0.208167,0.563231,1,0.017651,0.029485,0.009585,0.028449,0.149908,191300
0.208167,0.564293,1,0.06717,0.096989,0.033885,0.101792,0.097709,159200
0.208167,0.564293,0.960784,0.028435,0.043762,0.019451,0.043249,0.112074,140000
0.207171,0.564293,1,0.049952,0.053693,0.022142,0.054267,0.156901,152500
0.207171,0.564293,1,0.031182,0.045313,0.018078,0.049663,0.111743,155500
0.208167,0.563231,0.960784,0.056895,0.070453,0.027663,0.068739,0.10284,158700
0.207171,0.563231,1,0.038176,0.046089,0.019255,0.045058,0.14506,162900
0.207171,0.564293,0.764706,0.01905,0.028399,0.011379,0.027134,0.059165,147500
0.207171,0.564293,0.803922,0.041635,0.056797,0.025954,0.060023,0.083695,159800
0.207171,0.563231,1,0.061905,0.083799,0.028364,0.078441,0.084488,113900
0.207171,0.563231,1,0.042881,0.052142,0.023824,0.053281,0.115909,99700
0.207171,0.563231,1,0.056514,0.06766,0.028112,0.069232,0.144832,132600
0.206175,0.564293,0.784314,0.013556,0.018932,0.008801,0.019405,0.131302,107500
0.206175,0.564293,0.941176,0.028689,0.037709,0.016929,0.039138,0.135157,93800
0.206175,0.564293,1,0.048222,0.065177,0.030802,0.065121,0.090213,105500
0.206175,0.563231,0.960784,0.052902,0.076195,0.031615,0.077619,0.078792,108900
0.206175,0.563231,1,0.01849,0.024674,0.010987,0.025325,0.081902,132000
0.206175,0.563231,0.941176,0.04868,0.069212,0.024104,0.061996,0.098447,122300
0.206175,0.563231,1,0.054708,0.074488,0.032652,0.072357,0.100799,115200
0.207171,0.563231,0.921569,0.048833,0.063315,0.028672,0.054925,0.089447,110400
0.207171,0.562168,0.941176,0.042042,0.056642,0.021049,0.053938,0.060351,104900
0.207171,0.562168,0.980392,0.06773,0.08892,0.035175,0.087979,0.153819,109700
0.207171,0.562168,0.941176,0.030851,0.043606,0.015892,0.043249,0.068013,97200
0.207171,0.562168,0.921569,0.045679,0.066884,0.027579,0.061339,0.041193,104500
0.206175,0.562168,1,0.038379,0.060366,0.025169,0.066108,0.062785,103900
0.208167,0.562168,1,0.037337,0.051055,0.019227,0.05065,0.205521,191400
0.208167,0.562168,1,0.061804,0.110801,0.03851,0.11429,0.144129,176000
0.208167,0.562168,1,0.042296,0.064867,0.02643,0.064792,0.110198,155400
0.208167,0.562168,0.980392,0.023755,0.048107,0.014406,0.040783,0.054158,150000
0.208167,0.563231,0.941176,0.018083,0.031192,0.012865,0.030916,0.036213,118800
0.208167,0.563231,1,0.024111,0.031192,0.013005,0.032396,0.238921,188800
0.208167,0.562168,1,0.03665,0.048107,0.018414,0.047854,0.17328,184400
0.208167,0.562168,1,0.042067,0.065022,0.02004,0.062654,0.150129,182300
0.208167,0.562168,0.960784,0.028562,0.049814,0.017181,0.049827,0.105247,142500
0.207171,0.561105,0.823529,0.025561,0.048262,0.015555,0.041441,0.085164,137500
0.208167,0.561105,0.764706,0.01582,0.030106,0.011772,0.026147,0.031082,187500
