@relation cal_housing-weka.filters.unsupervised.attribute.Center-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute longitude numeric
@attribute latitude numeric
@attribute housingMedianAge numeric
@attribute totalRooms numeric
@attribute totalBedrooms numeric
@attribute population numeric
@attribute households numeric
@attribute medianIncome numeric
@attribute medianHouseValue numeric

@data
0.211155,0.567481,0.784314,0.022331,0.019863,0.008941,0.020556,0.539668,0.902266
0.212151,0.565356,0.392157,0.180503,0.171477,0.06721,0.186976,0.538027,0.708247
0.210159,0.564293,1,0.03726,0.02933,0.013818,0.028943,0.466028,0.695051
0.209163,0.564293,1,0.032352,0.036313,0.015555,0.035849,0.354699,0.672783
0.209163,0.564293,1,0.04133,0.043296,0.015752,0.042427,0.230776,0.674638
0.209163,0.564293,1,0.023323,0.032899,0.011491,0.031574,0.243921,0.525155
0.209163,0.563231,1,0.064423,0.075729,0.030578,0.084361,0.217873,0.585979
0.209163,0.563231,1,0.078895,0.106456,0.032344,0.106233,0.180694,0.466804
0.208167,0.563231,0.803922,0.064932,0.103042,0.033717,0.097681,0.108998,0.436495
0.209163,0.563231,1,0.090213,0.109559,0.043387,0.11725,0.220087,0.507423
0.208167,0.564293,1,0.055954,0.067194,0.025421,0.065943,0.186425,0.549484
0.208167,0.564293,1,0.089043,0.116543,0.04207,0.120539,0.191073,0.467629
0.208167,0.564293,1,0.063304,0.073402,0.03069,0.076797,0.177591,0.409279
0.208167,0.563231,1,0.017651,0.029485,0.009585,0.028449,0.149908,0.363506
0.208167,0.564293,1,0.06717,0.096989,0.033885,0.101792,0.097709,0.29732
0.208167,0.564293,0.960784,0.028435,0.043762,0.019451,0.043249,0.112074,0.257733
0.207171,0.564293,1,0.049952,0.053693,0.022142,0.054267,0.156901,0.283506
0.207171,0.564293,1,0.031182,0.045313,0.018078,0.049663,0.111743,0.289692
0.208167,0.563231,0.960784,0.056895,0.070453,0.027663,0.068739,0.10284,0.296289
0.207171,0.563231,1,0.038176,0.046089,0.019255,0.045058,0.14506,0.304949
